pygaze initiation report start
display resolution: 1920x1080
display size in cm: 34.5x19.7
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 58 Hz
sampletime: 16.958034912718087 ms
accuracy (in pixels): LX=659.3957227047018, LY=417.8570825102191, RX=642.8906114078135, RY=425.38447364196963
precision (RMS noise in pixels): X=13.410952931711652, Y=29.649168128831327
distance between participant and display: 57.0 cm
fixation threshold: 82.44698955399645 pixels
speed threshold: 1.9233237999316544 pixels/ms
accuracy threshold: 526.8821380382186 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
301.4160		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
317.9730		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
348.1170		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
364.7550		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
398.7820		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
415.4200		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
432.0570		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
448.6950		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
465.3330		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
481.9710		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
498.5950		937	503	1	1023	638	1	980	570	3.5929	1	3.0920	1
515.2180		943	485	1	1017	584	1	980	534	3.6098	1	3.1776	1
531.8410		963	452	1	1020	441	1	992	446	3.6724	1	3.3557	1
548.4760		958	446	1	1024	438	1	991	442	3.6833	1	3.3754	1
565.1130		952	442	1	1024	437	1	988	439	3.6823	1	3.3821	1
581.7490		952	435	1	1026	431	1	989	433	3.6683	1	3.3881	1
598.3820		951	444	1	1037	437	1	994	440	3.6496	1	3.3865	1
615.0150		955	455	1	1030	437	1	992	446	3.6685	1	3.3900	1
631.6470		959	450	1	1035	436	1	997	443	3.6763	1	3.3855	1
648.2820		949	444	1	1036	430	1	992	437	3.6602	1	3.3715	1
664.9180		949	444	1	1027	428	1	988	436	3.6493	1	3.3688	1
681.5540		961	450	1	1029	436	1	995	443	3.6504	1	3.3838	1
698.1890		959	446	1	1030	444	1	994	445	3.6505	1	3.3794	1
714.8250		963	453	1	1027	442	1	995	447	3.6721	1	3.3670	1
731.4610		965	452	1	1015	434	1	990	443	3.6755	1	3.3765	1
748.0960		950	445	1	1020	433	1	985	439	3.6548	1	3.3903	1
764.7320		948	453	1	1031	420	1	990	436	3.6641	1	3.4048	1
781.3680		966	457	1	1027	429	1	996	443	3.6866	1	3.4023	1
798.0040		966	447	1	1028	434	1	997	440	3.6930	1	3.4103	1
814.6400		954	437	1	1034	435	1	994	436	3.6695	1	3.4091	1
831.2760		962	450	1	1028	446	1	995	448	3.6695	1	3.4056	1
847.9120		964	455	1	1027	440	1	996	447	3.6807	1	3.4163	1
864.5480		962	454	1	1032	436	1	997	445	3.6701	1	3.4242	1
881.1840		960	441	1	1037	442	1	998	441	3.6618	1	3.4250	1
897.8180		955	440	1	1037	432	1	996	436	3.6743	1	3.4158	1
914.4510		958	444	1	1027	432	1	992	438	3.6794	1	3.4209	1
931.0850		969	445	1	1021	434	1	995	439	3.6779	1	3.4352	1
947.7210		958	444	1	1022	426	1	990	435	3.6678	1	3.4286	1
964.3550		957	433	1	1025	419	1	991	426	3.6657	1	3.4160	1
980.9910		964	432	1	1024	412	1	994	422	3.6643	1	3.4131	1
997.6270		956	431	1	1026	411	1	991	421	3.6538	1	3.4150	1
1014.2620		956	443	1	1026	417	1	991	430	3.6656	1	3.4114	1
1030.8980		951	440	1	1040	423	1	996	431	3.6612	1	3.4185	1
1047.5350		951	426	1	1043	417	1	997	421	3.6501	1	3.4197	1
1064.1710		965	430	1	1022	432	1	994	431	3.6407	1	3.4043	1
1080.8060		971	443	1	1025	439	1	998	441	3.6460	1	3.4032	1
1097.4420		968	439	1	1017	426	1	992	432	3.6500	1	3.4007	1
1114.0810		960	428	1	1014	427	1	987	427	3.6440	1	3.4072	1
1130.7190		949	432	1	1032	430	1	990	431	3.6445	1	3.4134	1
1147.3570		959	434	1	1029	418	1	994	426	3.6504	1	3.3953	1
1163.9940		956	429	1	1035	415	1	996	422	3.6466	1	3.3899	1
1180.6290		957	432	1	1038	417	1	998	424	3.6499	1	3.3983	1
1197.2650		957	420	1	1041	407	1	999	413	3.6453	1	3.4009	1
1213.9020		943	410	1	1048	412	1	996	411	3.6245	1	3.4017	1
1230.5370		943	419	1	1041	410	1	992	414	3.6233	1	3.3935	1
1247.1740		946	426	1	1032	405	1	989	415	3.6321	1	3.3974	1
1263.8110		963	397	1	1047	385	1	1005	391	3.6363	1	3.4147	1
1280.4470		975	393	1	1058	383	1	1016	388	3.6574	1	3.4245	1
1297.0850		971	396	1	1060	384	1	1016	390	3.6647	1	3.4423	1
1313.7210		955	380	1	1048	375	1	1002	377	3.6399	1	3.4519	1
1330.3570		963	376	1	1044	365	1	1004	370	3.6401	1	3.4473	1
1346.9920		964	374	1	1037	370	1	1000	372	3.6447	1	3.4473	1
1363.6290		964	372	1	1032	371	1	998	371	3.6402	1	3.4511	1
1380.2650		965	379	1	1047	367	1	1006	373	3.6371	1	3.4410	1
1396.9000		969	381	1	1059	376	1	1014	378	3.6337	1	3.4400	1
1413.5360		970	385	1	1049	385	1	1010	385	3.6356	1	3.4413	1
1430.1730		959	386	1	1046	381	1	1002	383	3.6266	1	3.4464	1
1446.8090		958	383	1	1050	372	1	1004	377	3.6203	1	3.4445	1
1463.4450		967	381	1	1050	367	1	1008	374	3.6113	1	3.4252	1
1480.0820		971	381	1	1048	377	1	1010	379	3.6041	1	3.4197	1
1496.7180		957	386	1	1039	378	1	998	382	3.5950	1	3.4258	1
1513.3540		959	382	1	1040	384	1	1000	383	3.6022	1	3.4270	1
1529.9900		966	376	1	1043	392	1	1004	384	3.6037	1	3.4257	1
1546.6260		962	378	1	1047	389	1	1004	383	3.6041	1	3.4407	1
1563.2630		962	376	1	1044	386	1	1003	381	3.6058	1	3.4304	1
1579.8990		960	366	1	1039	378	1	1000	372	3.6040	1	3.4163	1
1596.5370		954	366	1	1033	373	1	994	369	3.5994	1	3.4170	1
1613.1720		946	370	1	1027	382	1	986	376	3.5941	1	3.4169	1
1629.8080		943	368	1	1020	381	1	982	374	3.5941	1	3.4183	1
1646.4450		949	373	1	1025	376	1	987	374	3.5905	1	3.4143	1
1663.0800		952	379	1	1019	378	1	986	378	3.5938	1	3.4131	1
1679.7160		954	379	1	1016	386	1	985	382	3.5922	1	3.4195	1
1696.3520		959	388	1	1031	383	1	995	385	3.5910	1	3.4214	1
1712.9880		954	388	1	1027	378	1	990	383	3.5923	1	3.4205	1
1729.6240		946	386	1	1029	378	1	988	382	3.5837	1	3.4151	1
1746.2600		942	393	1	1033	385	1	988	389	3.5999	1	3.4148	1
1762.8960		937	388	1	1033	407	1	985	397	3.6010	1	3.4144	1
1779.5320		937	383	1	1032	399	1	984	391	3.5857	1	3.4012	1
1796.1680		942	391	1	1023	386	1	982	388	3.5744	1	3.3830	1
1812.8040		939	395	1	1022	386	1	980	390	3.5719	1	3.3885	1
1829.4400		940	385	1	1019	393	1	980	389	3.5647	1	3.3861	1
1846.0770		950	392	1	1032	397	1	991	394	3.5601	1	3.3742	1
1862.7140		938	405	1	1020	414	1	979	409	3.5493	1	3.3557	1
1879.3500		944	397	1	1023	416	1	984	406	3.5418	1	3.3505	1
1895.9870		963	394	1	1038	405	1	1000	399	3.5328	1	3.3393	1
1912.6240		962	391	1	1034	409	1	998	400	3.5346	1	3.3442	1
1929.2610		955	397	1	1041	412	1	998	404	3.5265	1	3.3328	1
1945.8980		952	400	1	1045	408	1	998	404	3.5133	1	3.3194	1
1962.5350		946	397	1	1037	413	1	992	405	3.4971	1	3.3097	1
1979.1710		945	401	1	1028	408	1	986	404	3.4971	1	3.2987	1
1995.8090		953	402	1	1035	398	1	994	400	3.4791	1	3.2832	1
2012.4460		948	398	1	1035	407	1	992	402	3.4760	1	3.2778	1
2029.0820		952	394	1	1035	406	1	994	400	3.4656	1	3.2742	1
2045.7200		951	396	1	1044	398	1	998	397	3.4483	1	3.2694	1
2062.3570		948	405	1	1047	411	1	998	408	3.4369	1	3.2688	1
2078.9940		951	409	1	1036	412	1	994	410	3.4446	1	3.2672	1
2095.6310		953	398	1	1033	401	1	993	399	3.4321	1	3.2606	1
2112.2680		957	404	1	1041	403	1	999	403	3.4269	1	3.2620	1
2128.9060		957	414	1	1032	415	1	994	414	3.4291	1	3.2614	1
2145.5430		950	413	1	1028	417	1	989	415	3.4260	1	3.2586	1
2162.1800		951	404	1	1019	402	1	985	403	3.4284	1	3.2700	1
2178.8180		951	393	1	1013	408	1	982	400	3.4305	1	3.2891	1
2195.4550		945	394	1	1026	414	1	986	404	3.4378	1	3.2938	1
2212.0920		947	395	1	1029	410	1	988	402	3.4465	1	3.2823	1
2228.7300		946	393	1	1030	405	1	988	399	3.4553	1	3.2814	1
2245.3660		952	397	1	1033	399	1	992	398	3.4511	1	3.2898	1
2262.0020		956	398	1	1016	405	1	986	401	3.4542	1	3.2943	1
2278.6390		970	401	1	1018	415	1	994	408	3.4717	1	3.2973	1
2295.2740		964	398	1	1029	414	1	996	406	3.4849	1	3.3070	1
2311.9110		940	389	1	1037	407	1	988	398	3.4794	1	3.3215	1
2328.5480		949	388	1	1044	399	1	996	393	3.4820	1	3.3442	1
2345.1830		962	387	1	1038	412	1	1000	399	3.4846	1	3.3381	1
2361.8200		966	398	1	1039	409	1	1002	403	3.5026	1	3.3385	1
